,smiles
78,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1
79,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
80,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
81,O=NN(CCCl)C(=O)NC1CCCCC1
82,CN(CCCl)CCCl
83,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
84,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
85,S=c1nc[nH]c2nc[nH]c12
86,COc1c2occc2cc2ccc(=O)oc12
87,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
88,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
89,COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O
90,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
91,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
93,OCC1OC(n2cnc3c2NC=NCC3O)CC1O
94,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
96,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
97,CNNCc1ccc(C(=O)NC(C)C)cc1
98,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
99,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
100,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O
101,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
102,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
103,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
104,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
105,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
106,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
107,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
108,Nc1nc(=S)c2[nH]cnc2[nH]1
109,S=P(N1CC1)(N1CC1)N1CC1
110,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
111,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
112,C1CN1c1nc(N2CC2)nc(N2CC2)n1
113,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
114,CCCCC(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O
115,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
116,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
117,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
118,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
120,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
121,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
122,N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1
123,NC1CCCCC1N.[Pt+2]
124,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
125,[As+3].[As+3]
128,CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
129,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
130,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
131,Cc1cccc(C(C)c2cnc[nH]2)c1C
132,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1
133,CNCCCC12CCC(c3ccccc31)c1ccccc12
134,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12
135,CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1
136,CN(C)C(=O)Oc1ccc[n+](C)c1
137,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
138,CCCNC1CCc2nc(N)sc2C1
139,C[N+](C)(C)CCOC(N)=O
140,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1
141,COc1cc(N)c(Cl)cc1C(=O)NC1CCNCC1OC
142,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
143,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
144,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
145,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
146,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1
147,NC1CC1c1ccccc1
148,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1
149,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
150,NCCc1ccc(O)c(O)c1
151,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
152,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1
153,CC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C
154,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
155,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
156,C#CCN(C)Cc1ccccc1
157,CC12CC3CC(C)(C1)CC(N)(C3)C2
158,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
159,NN1CCOC1=O
160,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
161,CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1
162,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
163,O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
164,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1
165,N=c1nc(N2CCCCC2)cc(N)n1O
166,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
167,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
168,CN(C)CCCN1c2ccccc2CCc2ccccc21
169,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
170,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
171,CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1
172,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1
173,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
174,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
175,Nc1nc2ccc(OC(F)(F)F)cc2s1
176,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
177,CC1OC2(CS1)CN1CCC2CC1
178,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
179,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
180,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
181,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
182,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
183,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
184,CCN(CC)C(=S)SSC(=S)N(CC)CC
185,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
186,N#CC1CC2CC2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2
187,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1
188,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
189,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
190,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21
191,CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12
192,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
193,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12
194,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1
195,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O
196,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1
197,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
198,Nc1ccn(C2CCC(CO)O2)c(=O)n1
199,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
200,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C
201,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O
202,CC(C)NCC(O)c1ccc(O)c(O)c1
203,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
204,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
205,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O
206,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
207,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
208,NC(=O)C1CSSCCC(=O)NC(CCCCN=C(N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N2CCCC2C(=O)N1
209,Nc1c2c(nc3ccccc13)CCCC2
210,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
211,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
212,CCN(CC)C(=O)N1CCN(C)CC1
213,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O
214,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
215,c1ccc(C2CN3CCSC3=N2)cc1
216,CNC1(C)C2CCC(C2)C1(C)C
217,CNNCc1ccc(C(=O)NC(C)C)cc1
218,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
219,CCC(=C(c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1
220,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4
221,COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1
222,NNc1nncc2ccccc12
223,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
224,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3
225,Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C
226,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
227,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
228,COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
229,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
230,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
231,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2
232,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
233,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
234,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC
235,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccccc1O
236,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
237,CCCCC(F)(F)C1(O)CCC2C(CC(=O)C2CCCCCCC(=O)O)O1
238,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
239,c1ccc(CC2=NCCN2)cc1
240,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
241,Nc1cc(N2CCCCC2)nc(N)[n+]1OS(=O)(=O)O
242,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
243,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
244,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2=Cc1ccc(Cl)cc1
245,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
246,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
247,CNCC(O)c1ccc(O)c(O)c1
248,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
249,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
250,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
252,CC[N+](C)(C)Cc1ccccc1Br
253,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
254,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
255,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
256,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
257,COCC(NC(C)=O)C(=O)NCc1ccccc1
258,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1
259,CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21
260,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
261,O=C(O)CC(O)(CC(=O)O)C(=O)O
262,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
263,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
264,O=C(O)C1OC(Oc2ccc(C3C(CCC(O)c4ccc(F)cc4)C(=O)N3c3ccc(F)cc3)cc2)C(O)C(O)C1O
265,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
266,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
267,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
268,CC12Cc3cn[nH]c3CC1CCC1C2CCC2(C)C1CCC2(C)O
269,OCCN1CC(O)C(O)C(O)C1CO
270,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12
271,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
272,NC(=O)NC(CCC(=O)O)C(=O)O
273,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1
274,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2
275,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
276,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O
277,Nc1ccc(O)c(C(=O)O)c1
278,Cc1ncc([N+](=O)[O-])n1CCO
279,NNC(=O)c1ccncc1
280,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1
281,c1ccc2[nH]c(-c3cscn3)nc2c1
282,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
283,CCCc1cc(=O)[nH]c(=S)[nH]1
284,NC(=O)c1ncn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)n1
285,NC1CONC1=O
286,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1
287,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
288,CCC1(c2ccccc2)NC(=O)N(C)C1=O
289,OCC(O)COc1ccc(Cl)cc1
290,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1
291,CCC(CO)NCCNC(CC)CO
292,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
293,CC(c1cc2ccccc2s1)N(O)C(N)=O
294,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
295,NCC1(CC(=O)O)CCCCC1
296,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
297,CC(=O)Nc1nnc(S(N)(=O)=O)s1
298,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
299,Nc1ccc(C(=O)O)c(O)c1
300,CC12CCC3C(CCC45OC4C(O)=C(C#N)CC35C)C1CCC2O
301,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O
302,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
303,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
304,CCOC(=O)c1cncn1C(C)c1ccccc1
305,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
306,CC(N)(Cc1ccc(O)cc1)C(=O)O
307,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
308,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
309,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
310,NCCCC(N)(C(=O)O)C(F)F
